8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
8/11/2017,16:13:12,300,0.013
8/11/2017,16:18:12,600,0.023
8/11/2017,16:23:12,900,0.033
8/11/2017,16:28:12,1200,0.043
8/11/2017,16:33:12,1500,0.053
11/11/2017,16:23:12,260100,0.006
11/11/2017,16:28:12,260400,0.005
11/11/2017,16:33:12,260700,0.005
11/11/2017,16:38:12,261000,0.008
11/11/2017,16:43:12,261300,0.006
11/11/2017,16:48:12,261600,0.006
11/11/2017,16:53:12,261900,0.009
11/11/2017,16:58:12,262200,0.011
11/11/2017,17:03:12,262500,0.009
11/11/2017,17:08:12,262800,0.008
11/11/2017,17:13:12,263100,0.009
11/11/2017,17:18:12,263400,0.008
11/11/2017,17:23:12,263700,0.008
11/11/2017,17:28:12,264000,0.006
11/11/2017,17:33:12,264300,0.006
11/11/2017,17:38:12,264600,0.003
11/11/2017,17:43:12,264900,0.003
11/11/2017,17:48:12,265200,0.002
11/11/2017,17:48:12,265200,0.006
11/11/2017,17:48:12,265200,0.006
11/11/2017,17:48:12,265200,0.006
